Rank,Company Name,Revenue,Profit,Assets,Market Value
"1,107",Euronext,$1.6 B,$603.7 M,$238.5 B,$10.3 B
"1,108",US Steel,$17.8 B,$867 M,$20.4 B,$8.1 B
"1,109",Taiwan Cooperative Financial,$4.2 B,$544.3 M,$156.5 B,$12.1 B
"1,109",Toll Brothers,$10.2 B,$1.4 B,$12.5 B,$13.6 B
"1,111",Arrow Electronics,$31.3 B,$713.4 M,$20.3 B,$7 B
"1,111",Western Digital,$11.9 B,$-1.6 B,$23.8 B,$23.5 B
"1,113",The Mosaic Company,$12.8 B,$775.3 M,$22.9 B,$9.8 B
"1,114",Fortinet,$5.4 B,$1.2 B,$7.7 B,$46.9 B
"1,115",ENN Natural Gas,$20 B,$936.4 M,$18.9 B,$7.8 B
"1,116",Kajima,$18.4 B,$795.5 M,$20.7 B,$8.3 B
"1,117",ENN Energy Holdings,$16.1 B,$962.1 M,$14.5 B,$11.1 B
"1,118",Acciona,$18.4 B,$584.9 M,$35 B,$7.3 B
"1,119",UPM-Kymmene,$11.2 B,$524.8 M,$20 B,$20.4 B
"1,120",Guangzhou Automobile Group,$18.3 B,$630.3 M,$30.8 B,$4.6 B
"1,121",DaVita,$12.3 B,$815.6 M,$17.4 B,$12.3 B
"1,122",CNPC Capital,$5.9 B,$622.6 M,$141 B,$10.6 B
"1,123",Constellation Software,$8.8 B,$575.5 M,$11.9 B,$57.6 B
"1,124",Hoya,$5.3 B,$1.3 B,$8 B,$42.7 B
"1,125",Banca Mediolanum,$3.1 B,$936.9 M,$85.4 B,$8.8 B
"1,126",Amcor,$13.8 B,$653 M,$16.7 B,$14.8 B
"1,127",Xylem,$7.9 B,$663 M,$15.9 B,$34.7 B
"1,128",Marathon Oil,$6.4 B,$1.4 B,$19.7 B,$14.8 B
"1,129",International Paper,$18.5 B,$186 M,$23 B,$14.1 B
"1,130",El Puerto de Liverpool,$11.5 B,$1.2 B,$15.3 B,$11.5 B
"1,130",EMCOR Group,$13.1 B,$718.7 M,$6.7 B,$17.8 B
"1,132",Old Dominion Freight Line,$5.9 B,$1.2 B,$5.7 B,$39.8 B
"1,133",Vibra Energia,$33.1 B,$1.1 B,$8.8 B,$5 B
"1,134",ICON (Ireland),$8.2 B,$683.1 M,$17 B,$26 B
"1,135",US Foods,$36 B,$506 M,$13.4 B,$13.6 B
"1,136",Hexagon,$5.9 B,$920 M,$18.4 B,$29.7 B
"1,137",Top Frontier Investment Holdings,$26 B,$-47.9 M,$47.1 B,$586 M
"1,137",Weyerhaeuser,$7.6 B,$802 M,$16.8 B,$22.7 B
"1,139",Atmos Energy,$4.1 B,$999.1 M,$24 B,$17.9 B
"1,140",Terna,$3.4 B,$957.2 M,$25.9 B,$17.1 B
"1,141",Assurant,$11.4 B,$765.3 M,$26.6 B,$9.1 B
"1,141",Cathay Pacific Airways,$12.1 B,$1.3 B,$22.3 B,$7.2 B
"1,141",Korea Gas,$29.9 B,$-375 M,$42.4 B,$1.8 B
"1,144",LKQ,$14.2 B,$831 M,$15.3 B,$11.9 B
"1,145",XP,$3 B,$782.9 M,$51.3 B,$11.9 B
"1,146",Asustek Computer,$15.7 B,$733.7 M,$15.7 B,$11.9 B
"1,147",Telecom Italia,$17.6 B,$-1.6 B,$68.7 B,$5.7 B
"1,148",Industrivarden,$1 B,$3 B,$16.4 B,$14.7 B
"1,149",Echostar,$20.6 B,$-1.8 B,$55.6 B,$4.8 B
"1,149",Krung Thai Bank,$5.8 B,$1.1 B,$101.9 B,$6.6 B
"1,151",Vivendi,$11.4 B,$437.9 M,$42.3 B,$11.3 B
"1,152",Cemex,$17.5 B,$203.8 M,$28.6 B,$11.7 B
"1,153",NARI Technology Development,$7.4 B,$1 B,$11.5 B,$25.5 B
"1,154",China Tourism Group Duty Free,$8.9 B,$937.3 M,$11.1 B,$19.8 B
"1,155",Equity Residential,$2.9 B,$919.2 M,$19.9 B,$25.4 B
"1,156",Prysmian,$16.3 B,$576.8 M,$14.6 B,$16.8 B
"1,157",Garmin,$5.5 B,$1.4 B,$8.6 B,$32.8 B
"1,158",MSCI,$2.6 B,$1.2 B,$5.5 B,$40 B
"1,159",Japan Exchange Group,$1.1 B,$420.6 M,$533.1 B,$12.2 B
"1,160",Owens Corning,$9.6 B,$1.1 B,$11.3 B,$15.3 B
"1,161",Sun Pharma Industries,$5.7 B,$1.1 B,$9.6 B,$44.1 B
"1,162",Amadeus IT Group,$6.1 B,$1.2 B,$12.1 B,$31.4 B
"1,162",Wolters Kluwer,$6 B,$1.1 B,$10.3 B,$38.3 B
"1,164",Bankinter,$5 B,$913.3 M,$124.8 B,$7.5 B
"1,165",American Financial Group,$7.9 B,$882 M,$24.4 B,$11.2 B
"1,165",SK Telecom,$13.4 B,$861.9 M,$22.5 B,$8.1 B
"1,167",Investec,$6.2 B,$1.1 B,$69.9 B,$5.7 B
"1,168",Chow Tai Fook Jewellery,$12.5 B,$842.8 M,$10.9 B,$13.9 B
"1,169",Fortive,$6.1 B,$899.6 M,$17.5 B,$27.2 B
"1,169",Sunshine Insurance Group,$11 B,$534.5 M,$71.8 B,$4.7 B
"1,171",First Horizon,$4.9 B,$838 M,$81.8 B,$8.8 B
"1,171",Rexel,$20.7 B,$837.5 M,$15.1 B,$8.9 B
"1,173",Ball,$13.3 B,$-480 M,$19.9 B,$21.8 B
"1,173",Caesars Entertainment,$11.4 B,$764 M,$33.1 B,$7.7 B
"1,175",Howmet Aerospace,$6.9 B,$860 M,$10.4 B,$33.9 B
"1,176",SMC,$5.4 B,$1.2 B,$13.8 B,$33.8 B
"1,177",ThyssenKrupp Group,$38.7 B,$-2.5 B,$33.3 B,$3.4 B
"1,178",Banco Comercial Portugues,$5.8 B,$950.9 M,$105.6 B,$5.8 B
"1,179",Attijariwafa Bank,$4.2 B,$741 M,$66.8 B,$10.3 B
"1,180",YPF,$18 B,$-2.4 B,$26.6 B,$11.5 B
"1,181",Stanley Black & Decker,$15.7 B,$-74.9 M,$23.9 B,$13.9 B
"1,182",SQM,$7.4 B,$2 B,$11.7 B,$13.5 B
"1,183",Mitsubishi Motors,$19.3 B,$1.1 B,$16.2 B,$4.2 B
"1,184",CJ Corporation,$31.8 B,$192.9 M,$36.1 B,$3.5 B
"1,185",China Galaxy Securities,$4.2 B,$989.9 M,$93.5 B,$6.7 B
"1,185",West Japan Railway,$11.3 B,$683 M,$25 B,$9.9 B
"1,187",Chugoku Electric Power,$11.3 B,$923.2 M,$27.3 B,$2.4 B
"1,188",Telenor,$7.6 B,$699.1 M,$21.5 B,$16.6 B
"1,189",Universal Health Services,$14.7 B,$816.3 M,$14 B,$11.9 B
"1,190",Metro,$15.7 B,$727.1 M,$10.3 B,$12.5 B
"1,191",Partners Group Holding,$2.4 B,$1.1 B,$5.7 B,$36 B
"1,192",Hydro One,$5.9 B,$812.6 M,$25.2 B,$17.7 B
"1,193",China Southern Airlines,$22.5 B,$-589.9 M,$43.7 B,$7.3 B
"1,194",Bayan Resources,$3.3 B,$1 B,$2.9 B,$39.6 B
"1,194",Vietin Bank,$6.4 B,$836.5 M,$83.8 B,$7 B
"1,196",Olympus,$6.5 B,$1.7 B,$10.1 B,$18.4 B
"1,197",StoneX Group,$73.4 B,$233.9 M,$25.7 B,$2.4 B
"1,198",Yum China Holdings,$11 B,$825 M,$11.3 B,$15.3 B
"1,199",Korean Air,$12.7 B,$909.4 M,$23.2 B,$5.9 B
"1,200",Autodesk,$5.4 B,$906 M,$9.9 B,$47.7 B
"1,201",Towngas,$7.3 B,$775.3 M,$20.7 B,$15.3 B
"1,202",WESCO International,$22.2 B,$684.3 M,$15.5 B,$9.4 B
"1,203",Westlake Chemical,$12.2 B,$257 M,$21 B,$20.3 B
"1,204",Shenzhen Transsion Holding,$9.8 B,$925.8 M,$6.6 B,$15.3 B
"1,205",Williams-Sonoma,$7.8 B,$949.8 M,$5.3 B,$19.9 B
"1,206",J.B. Hunt Transport Services,$12.5 B,$658 M,$8.4 B,$17 B
"1,207",Smurfit Kappa Group,$12.2 B,$821.1 M,$14.6 B,$12.4 B
"1,208",Jyske Bank,$4.5 B,$831.3 M,$111.5 B,$5.1 B
"1,209",Cellnex Telecom,$4.3 B,$-267 M,$47.4 B,$27.1 B
"1,210",Seazen Group,$16.8 B,$-41.4 M,$53.6 B,$1.6 B
"1,211",Forvia,$29.5 B,$247 M,$33.7 B,$3.4 B
"1,212",InterGlobe Aviation,$7.9 B,$871.3 M,$8.8 B,$20.2 B
"1,213",AutoNation,$27 B,$922.5 M,$12 B,$6.9 B
"1,213",IDEXX Laboratories,$3.7 B,$866.6 M,$3.4 B,$44.9 B
"1,215",Sodexo,$24.5 B,$303.2 M,$16.9 B,$13.7 B
"1,216",Dassault Aviation,$5.2 B,$749.6 M,$25.9 B,$17.6 B
"1,217",Grupo De Inversiones Suramericana,$9.7 B,$1.4 B,$21.9 B,$6.1 B
"1,218",Oriental Land,$4.3 B,$831.4 M,$9 B,$48.2 B
"1,219",Adani Ports & Special Economic Zone,$3.2 B,$979.6 M,$14.3 B,$34.6 B
"1,220",Piraeus Financial Holdings,$3.7 B,$910.7 M,$83.4 B,$5.2 B
"1,221",Performance Food Group,$58 B,$419.5 M,$13.1 B,$11.5 B
"1,221",Webster Financial,$4.1 B,$855 M,$76.2 B,$8 B
"1,223",iA Financial Corporation,$8.9 B,$556.1 M,$70.2 B,$6.6 B
"1,224",Gerdau (Cosigua),$13.4 B,$1.3 B,$15.4 B,$8 B
"1,225",Brenntag,$17.7 B,$694.3 M,$11.5 B,$10.9 B
"1,226",Hunan Valin Steel,$22.5 B,$666.8 M,$19.3 B,$5 B
"1,227",Kobe Steel,$17.6 B,$757.6 M,$19.3 B,$4.9 B
"1,228",Quest Diagnostics,$9.3 B,$842 M,$14 B,$16 B
"1,229",Bunzl,$14.7 B,$654.1 M,$11.4 B,$13 B
"1,229",GoDaddy,$4.3 B,$1.7 B,$8 B,$19.1 B
"1,231",Compagnie de l'Odet,$14.8 B,$133 M,$57.1 B,$7 B
"1,232",Pan Pacific International Holdings,$14.2 B,$600 M,$9.6 B,$14.7 B
"1,233",AntarChile,$29.6 B,$235.8 M,$29.7 B,$3.9 B
"1,233",Astellas Pharma,$11.1 B,$89.2 M,$23.6 B,$17.2 B
"1,235",Huadian Power International,$16.3 B,$511.4 M,$31.9 B,$6 B
"1,235",Swatch Group,$8.8 B,$967 M,$16.9 B,$11.4 B
"1,237",Randstad N.V.,$26.9 B,$605 M,$11.7 B,$9.8 B
"1,238",Origin Energy,$10.4 B,$1.1 B,$13 B,$11.4 B
"1,239",Jiangsu Eastern Shenghong,$19.7 B,$26.5 M,$27.9 B,$9 B
"1,240",ResMed,$4.6 B,$958.4 M,$6.8 B,$32.1 B
"1,241",BCI-Banco Credito,$5.2 B,$822.6 M,$88 B,$6.7 B
"1,242",Jiangsu Yanghe Brewery,$4 B,$1.4 B,$10 B,$20.4 B
"1,243",Bank Of Guiyang,$4.3 B,$767.4 M,$100.2 B,$2.9 B
"1,243",Norsk Hydro,$18.1 B,$306.3 M,$19.6 B,$12.6 B
"1,245",Zhongyuan Bank,$7.9 B,$450.8 M,$189.8 B,$1.7 B
"1,246",Vipshop Holdings,$15.9 B,$1.1 B,$10.2 B,$8 B
"1,247",SinoPac Financial,$3.5 B,$634.1 M,$90.3 B,$8.9 B
"1,248",Industries Qatar,$3.1 B,$1.4 B,$10.8 B,$20 B
"1,249",Grupo Galicia,$19.5 B,$1 B,$12.7 B,$6.5 B
"1,250",Csc Financial,$4.5 B,$862.8 M,$73.7 B,$6.9 B
"1,251",Datang International Power,$17.1 B,$-21.9 M,$42.9 B,$3.8 B
"1,251",Pegatron,$37.8 B,$507.9 M,$16.2 B,$8.6 B
"1,253",Evolution Gaming Group AB,$2 B,$1.2 B,$5.4 B,$23.3 B
"1,254",Keppel,$5.2 B,$3 B,$20.3 B,$8.9 B
"1,254",Olam Group,$35.9 B,$207.5 M,$25.6 B,$3.3 B
"1,256",S-Oil,$27.2 B,$643.8 M,$16.6 B,$5.9 B
"1,257",A2A,$13.8 B,$845.7 M,$19.4 B,$6.9 B
"1,258",China International Capital,$5 B,$779.2 M,$88 B,$7 B
"1,259",IDBI Bank,$3.7 B,$699.1 M,$43.7 B,$10.9 B
"1,260",Dongguan Rural Commercial Bank,$3.7 B,$735.4 M,$100 B,$6 B
"1,261",NiSource,$5.2 B,$745.6 M,$29.3 B,$13.1 B
"1,262",Helvetia Holding,$11.7 B,$315.1 M,$71.9 B,$7.5 B
"1,263",Yuexiu Property,$11.3 B,$453.6 M,$56.6 B,$3.3 B
"1,264",Bajaj Auto,$5.4 B,$931 M,$4.7 B,$29.4 B
"1,264",Grupo Aval,$11.3 B,$103.9 M,$79.4 B,$2.9 B
"1,266",BAIC Motor,$28 B,$436.6 M,$23.8 B,$2.4 B
"1,267",Alstom,$19.1 B,$-335 M,$35.9 B,$7.6 B
"1,268",Bâloise Group,$10.6 B,$266.6 M,$92 B,$7.5 B
"1,269",Masco,$7.9 B,$918 M,$5.3 B,$15.5 B
"1,270",Gartner,$6 B,$797.2 M,$7.7 B,$35 B
"1,271",Keysight Technologies,$5.3 B,$969 M,$9.1 B,$27.5 B
"1,272",Evergy,$5.5 B,$711.4 M,$31.3 B,$12.7 B
"1,273",Adyen,$2 B,$755 M,$10.6 B,$41.9 B
"1,274",Bank of Chongqing,$4.3 B,$697 M,$108 B,$2.4 B
"1,275",Ajinomoto,$10 B,$602.5 M,$11.7 B,$19.8 B
"1,276",Alpha Bank,$4.7 B,$770.8 M,$80.3 B,$4.4 B
"1,277",Solventum,$8.2 B,$1.3 B,$14.7 B,$10.8 B
"1,278",Brown & Brown,$4.4 B,$914.6 M,$14.8 B,$25.6 B
"1,278",Sojitz,$16.7 B,$696.8 M,$19.1 B,$6 B
"1,280",Halyk Bank,$5.2 B,$1.5 B,$35.5 B,$5 B
"1,281",Fanuc,$5.5 B,$920.9 M,$12.7 B,$28 B
"1,281",Shriram Transport Finance Co.,$4.4 B,$889.7 M,$29.8 B,$10.7 B
"1,283",Hyundai Marine & Fire,$11.1 B,$624 M,$31.9 B,$1.9 B
"1,284",Asahi Kasei,$19.3 B,$302.9 M,$24.2 B,$9.3 B
"1,285",Jefferies Financial,$8.4 B,$304.7 M,$60.9 B,$10 B
"1,286",Labcorp,$12.3 B,$433.1 M,$16.5 B,$17.8 B
"1,286",Old Mutual,$11.9 B,$382.6 M,$62.8 B,$2.7 B
"1,286",Xiamen International Trade Group,$61.5 B,$165.5 M,$20.5 B,$2.4 B
"1,289",EQT,$4.5 B,$620.2 M,$25.4 B,$18.2 B
"1,290",AGCO,$14 B,$1.1 B,$13.5 B,$8.2 B
"1,290",NetApp,$6.2 B,$940 M,$9.4 B,$22.8 B
"1,290",Voestalpine,$18.4 B,$676.6 M,$18.3 B,$4.9 B
"1,293",Verisk Analytics,$2.7 B,$777.9 M,$4.5 B,$35.9 B
"1,294",Corpay,$3.8 B,$997 M,$15.8 B,$19.6 B
"1,295",Marfrig Global Foods,$27.2 B,$-166.5 M,$26.2 B,$2.1 B
"1,296",Eastman,$9.1 B,$925 M,$14.7 B,$11.8 B
"1,297",Western Alliance Bancorp.,$4.6 B,$757.6 M,$77 B,$7.2 B
"1,298",Bank Albilad,$2.6 B,$653.8 M,$38.3 B,$11.7 B
"1,298",Leidos,$15.7 B,$321 M,$12.8 B,$20.1 B
"1,300",PGE Polska Grupa Energetyczna,$22.8 B,$-1.2 B,$28.8 B,$4.3 B
"1,301",China Eastern Airlines,$16 B,$-1.2 B,$40.1 B,$5.5 B
"1,301",Tourmaline Oil,$3.9 B,$1.3 B,$14.8 B,$17.4 B
"1,303",Kerry Group,$8.7 B,$787.4 M,$12.9 B,$14.9 B
"1,304",Kingspan Group PLC,$8.7 B,$692.2 M,$8.8 B,$17.7 B
"1,305",Zhongsheng Group Holdings,$25.3 B,$711.9 M,$14.6 B,$4.9 B
"1,306",Dongfeng Motor Group,$14 B,$-543.2 M,$46.6 B,$3.1 B
"1,307",DexCom,$3.8 B,$639.3 M,$6.5 B,$52.2 B
"1,308",Mettler-Toledo International,$3.8 B,$777.9 M,$3.3 B,$32.5 B
"1,309",HBIS,$16.7 B,$137.8 M,$36.1 B,$3.2 B
"1,310",AGNC Investment,$2.9 B,$749 M,$71.9 B,$7.3 B
"1,310",ZTO Express (Cayman),$5.5 B,$1.2 B,$12.4 B,$19.3 B
"1,312",Shanghai Electric Group,$15.8 B,$-5.9 M,$38.6 B,$3.4 B
"1,313",DoorDash,$9.1 B,$-420 M,$11.4 B,$48 B
"1,313",Tianshan Material,$13.8 B,$177.5 M,$41.6 B,$7.9 B
"1,315",Campbell Soup,$9.3 B,$766 M,$12.1 B,$13.8 B
"1,316",Marvell Technology,$5.5 B,$-933.4 M,$21.2 B,$62.2 B
"1,317",Bank of Greece,$7.5 B,$107 M,$250.2 B,$309 M
"1,317",Expeditors International,$8.9 B,$696 M,$4.5 B,$16.7 B
"1,319",Hyundai Glovis,$19.7 B,$821.4 M,$11.5 B,$5.3 B
"1,320",Storebrand,$9.7 B,$301.1 M,$89 B,$4.6 B
"1,321",Brown-Forman,$4.2 B,$965 M,$8.2 B,$22.9 B
"1,322",Foshan Haitian Flavouring and Food,$3.5 B,$813 M,$5.1 B,$29.2 B
"1,323",Carvana,$11.2 B,$638 M,$7 B,$13.7 B
"1,323",Wistron,$28.5 B,$471.6 M,$14.4 B,$10 B
"1,325",Alexandria Real Estate Equities,$3 B,$184.1 M,$37.7 B,$21.7 B
"1,326",Beijing Enterprises,$10.5 B,$702.3 M,$26.2 B,$4.5 B
"1,327",Coca-Cola HBC,$11 B,$689.2 M,$11 B,$12.9 B
"1,328",Rheinmetall,$8 B,$574.6 M,$12.5 B,$24.2 B
"1,329",Gemdale,$12.5 B,$14.6 M,$50.9 B,$2.9 B
"1,330",First Solar,$3.6 B,$1 B,$10.8 B,$21.1 B
"1,331",Evonik Industries,$16.3 B,$-386 M,$22.1 B,$10.2 B
"1,332",Terumo,$6.4 B,$735.6 M,$12.1 B,$26 B
"1,333",Robinhood Markets,$2.1 B,$127 M,$46.1 B,$17.7 B
"1,334",BJ's Wholesale Club,$20 B,$523.7 M,$6.7 B,$10.6 B
"1,335",Borouge,$5.7 B,$1.1 B,$9.2 B,$20 B
"1,336",Bank of Suzhou,$3.3 B,$663.8 M,$89.7 B,$4 B
"1,337",Solvay,$9.9 B,$2.1 B,$7.5 B,$3.9 B
"1,338",Comerica,$5.2 B,$691 M,$79.4 B,$7.3 B
"1,339",Wuxi Apptec,$5.5 B,$1.5 B,$10.4 B,$15.1 B
"1,340",Far East Horizon,$5.5 B,$874.4 M,$49.6 B,$3.5 B
"1,341",Xiamen Xiangyu,$60.5 B,$200.1 M,$18.5 B,$2.2 B
"1,342",Ares Management,$3.9 B,$435.4 M,$24.4 B,$28.3 B
"1,343",TUI,$23.5 B,$550.8 M,$17.5 B,$3.6 B
"1,344",Epiroc,$5.7 B,$862.6 M,$7.3 B,$24.6 B
"1,345",Metropolitan Bank & Trust,$3.4 B,$782.4 M,$56.7 B,$5.5 B
"1,345",Shopify,$7.4 B,$-200 M,$11.1 B,$75.3 B
"1,347",Next,$6.8 B,$1 B,$6 B,$14.5 B
"1,348",Church & Dwight,$5.9 B,$780.1 M,$8.6 B,$26 B
"1,348",E-mart,$22.4 B,$-66.1 M,$25.2 B,$1.3 B
"1,350",Akzo Nobel,$11.5 B,$573.6 M,$15.5 B,$12 B
"1,350",Rede D'Oro Luiz,$9.7 B,$518.3 M,$18.2 B,$13.7 B
"1,352",Obayashi,$16.1 B,$519.1 M,$19.9 B,$8.3 B
"1,352",STRABAG,$19.1 B,$681.7 M,$15.6 B,$4.5 B
"1,354",Grupo Elektra,$10.8 B,$418.7 M,$26.9 B,$10.5 B
"1,354",Valeo,$23.8 B,$238.9 M,$24 B,$3.4 B
"1,356",Galaxy Entertainment,$2.9 B,$872.1 M,$11.2 B,$22.4 B
"1,357",Qantas Airways,$13.7 B,$1.1 B,$13.2 B,$6.4 B
"1,358",Bawag Group,$3.3 B,$738 M,$61.3 B,$5.1 B
"1,359",ACWA Power,$1.7 B,$449.5 M,$15.3 B,$89.7 B
"1,360",Aristocrat Leisure,$4.3 B,$994.4 M,$6.8 B,$19.6 B
"1,360",Packaging Corp of America,$7.8 B,$716.3 M,$8.9 B,$16.4 B
"1,362",Zions Bancorp,$4.8 B,$624 M,$87.1 B,$6.6 B
"1,363",FinecoBank,$1.9 B,$658.5 M,$36.8 B,$10.4 B
"1,364",China Mengniu Dairy,$13.9 B,$683.2 M,$16.2 B,$8.5 B
"1,365",Broadridge Financial,$6.4 B,$699 M,$8.2 B,$24 B
"1,366",Aramark,$18.3 B,$625.9 M,$12.6 B,$8.8 B
"1,367",Lindt & Sprungli,$5.8 B,$747.1 M,$9.5 B,$27.3 B
"1,368",Veralto,$5 B,$798 M,$5.7 B,$24.3 B
"1,369",Qilu Bank,$3.2 B,$613 M,$86.5 B,$3.5 B
"1,370",Jiangsu Hengrui Medicine,$3.2 B,$618.1 M,$6.4 B,$39.3 B
"1,371",Hyundai Steel,$19.3 B,$200.2 M,$26.1 B,$3.1 B
"1,372",Teledyne Technologies,$5.6 B,$885.5 M,$14.6 B,$19.3 B
"1,372",Tokyo Century,$9.3 B,$498.9 M,$42.7 B,$4.8 B
"1,374",BBMG,$13.5 B,$-129.2 M,$37.8 B,$1 B
"1,375",China Jinmao,$10.2 B,$-948.9 M,$57.4 B,$1.6 B
"1,375",Coloplast,$3.7 B,$722.2 M,$7 B,$27.9 B
"1,375",Shin Kong Financial,$7.1 B,$-237.7 M,$161.4 B,$4.3 B
"1,378",Roivant Sciences,$123 M,$4.5 B,$7.3 B,$9.1 B
"1,379",Carlsberg,$10.7 B,$-5.9 B,$16.6 B,$18.9 B
"1,380",McCormick,$6.7 B,$707.5 M,$12.9 B,$19.9 B
"1,381",China Steel,$11.6 B,$97 M,$21.6 B,$11.9 B
"1,381",Shimao Property Holdings,$8.5 B,$-3 B,$76.6 B,$641 M
"1,383",Banque Cantonale Vaudoise,$1.8 B,$522.1 M,$69.9 B,$8.9 B
"1,384",Ag Anadolu Grubu Holding Anonim Sirketi,$15.8 B,$824.4 M,$13.3 B,$2.8 B
"1,384",Asian Paints,$4.3 B,$659.5 M,$3.6 B,$32.3 B
"1,384",Wens Foodstuff Group,$12.8 B,$-680 M,$13.1 B,$19.5 B
"1,387",Credito Emiliano,$3.5 B,$637.8 M,$71 B,$3.7 B
"1,388",China Merchants Expressway Network & Technology Holdings,$1.5 B,$935.8 M,$21.8 B,$10.7 B
"1,389",Annaly Capital Management,$6 B,$-336 M,$91.5 B,$10.2 B
"1,390",Latam Airlines,$12.2 B,$724.5 M,$14.9 B,$9 B
"1,391",Dollarama,$4.3 B,$748.7 M,$4.4 B,$25.4 B
"1,391",Hong Leong Financial,$2.5 B,$638.4 M,$69.7 B,$4.2 B
"1,393",Chongqing Zhifei Biological Products,$7.4 B,$1 B,$7.4 B,$11.5 B
"1,394",China Nuclear Engineering Corporation,$15.2 B,$294.5 M,$30.3 B,$3.3 B
"1,395",Murphy USA,$21.3 B,$516.5 M,$4.3 B,$9.2 B
"1,396",Bank of Tianjin,$5.2 B,$524.2 M,$118.5 B,$1.4 B
"1,397",HPB,$2.5 B,$706.8 M,$55 B,$493 M
"1,398",Trina Solar,$15.3 B,$596.7 M,$18.4 B,$6 B
"1,399",Hotai Motor,$8.9 B,$753.4 M,$15.5 B,$10.8 B
"1,399",Korea Shipbuilding & Offshore Engineering,$17.3 B,$417.1 M,$24.1 B,$7 B
"1,401",Aeroports de Paris,$5.9 B,$682.2 M,$21.7 B,$13.6 B
"1,402",China Resources Gas Group,$12.9 B,$667.2 M,$17.7 B,$8 B
"1,403",Motor Oil,$14.4 B,$871.1 M,$8.4 B,$3.3 B
"1,404",Lumen Technologies,$14.1 B,$-10.8 B,$33.2 B,$1.3 B
"1,405",CF Industries Holdings,$6.1 B,$1.2 B,$13.9 B,$13.9 B
"1,405",RHB Bank,$3 B,$615.2 M,$71.5 B,$5.1 B
"1,407",CJ Cheiljedang,$22.1 B,$357 M,$22.5 B,$3.9 B
"1,408",DISCO Corp.,$2.1 B,$582.3 M,$3.7 B,$39.1 B
"1,409",Avery Dennison,$8.5 B,$554.2 M,$8.3 B,$18.2 B
"1,410",China Shipbuilding Industry,$6.9 B,$-99.4 M,$27.4 B,$16.3 B
"1,411",BNK Financial Group,$6.4 B,$460.7 M,$110.7 B,$2 B
"1,411",Casey's General Stores,$14.6 B,$471 M,$6.2 B,$12.4 B
"1,411",Huntington Ingalls Industries,$11.6 B,$705 M,$11.2 B,$10.1 B
"1,414",Sandoz Group,$9.9 B,$77 M,$19.4 B,$15.2 B
"1,415",Guangdong Haid Group,$16.1 B,$445.4 M,$6.2 B,$12 B
"1,415",Lamb Weston Holdings,$6.6 B,$1.1 B,$7.2 B,$12.5 B
"1,417",LG Display,$16.8 B,$-1.7 B,$26.8 B,$3.8 B
"1,418",New World Development,$9.3 B,$73.4 M,$60.2 B,$3.2 B
"1,418",Zhuhai Huafa Properties,$9 B,$229.7 M,$63.6 B,$3.1 B
"1,420",JDE Peet's,$8.9 B,$396.8 M,$25.9 B,$11.8 B
"1,420",Rithm Capital,$4 B,$815 M,$42.1 B,$5.5 B
"1,422",Unibail-Rodamco-Westfield,$3.3 B,$-1.8 B,$59.2 B,$12 B
"1,423",Shenwan Hongyuan Group,$3.3 B,$559.3 M,$86.9 B,$5.2 B
"1,424",Invitation Homes,$2.6 B,$540.9 M,$19.2 B,$21.7 B
"1,424",Sumitomo Chemical,$16.9 B,$-2.2 B,$26 B,$3.4 B
"1,426",Toray Industries,$17 B,$151.4 M,$22.9 B,$8.1 B
"1,427",Alliant Energy,$4 B,$698 M,$21.2 B,$13.3 B
"1,427",Transurban Group,$2.8 B,$150.7 M,$24.8 B,$25.7 B
"1,429",China Communications Services,$21 B,$507.8 M,$17.2 B,$3.4 B
"1,430",Sinotruk Hong Kong,$12.1 B,$749.2 M,$17.2 B,$7.1 B
"1,431",Commercial Bank of Qatar,$3.4 B,$751.5 M,$45.7 B,$4.6 B
"1,431",Hubei Biocause Pharmaceutical,$11.8 B,$-80.9 M,$39 B,$1.7 B
"1,433",China International Marine,$18.6 B,$44.2 M,$23.8 B,$4.6 B
"1,434",Secom,$8 B,$705 M,$13.7 B,$13.5 B
"1,435",ASM International,$2.8 B,$590.7 M,$4.9 B,$34.8 B
"1,436",Lundbergs,$2.2 B,$683.4 M,$21.4 B,$13.2 B
"1,437",Avnet,$24.7 B,$571.3 M,$12.3 B,$4.8 B
"1,437",Kao,$10.7 B,$384 M,$11.7 B,$20.8 B
"1,439",Concordia Financial Group,$2.5 B,$462.9 M,$161.1 B,$6.7 B
"1,439",Globe Life,$5.5 B,$1 B,$28.6 B,$7.9 B
"1,439",Siam Cement,$14.1 B,$335.3 M,$25.7 B,$8.3 B
"1,442",Deckers Outdoor,$4.1 B,$723.8 M,$3.3 B,$22.8 B
"1,443",Suntory Beverage & Food,$11.2 B,$611.4 M,$13.1 B,$11.3 B
"1,443",WSP,$10.8 B,$418.4 M,$11.7 B,$19 B
"1,445",Wharf Real Estate Investment,$1.7 B,$608.8 M,$31.4 B,$10.6 B
"1,446",BIM Birlesik Magazalar,$13.8 B,$648.2 M,$5 B,$9 B
"1,447",Lear,$23.6 B,$538.5 M,$14.9 B,$7.4 B
"1,448",SSAB,$10.8 B,$1.1 B,$10.6 B,$5.7 B
"1,449",Korea Investment Holdings,$4.1 B,$565.8 M,$72.3 B,$3 B
"1,450",Hyundai Engineering,$24.4 B,$424.7 M,$18.1 B,$2.8 B
