Rank,Company Name,Revenue,Profit,Assets,Market Value
160,Banco do Brasil,$62.1 B,$6 B,$443.4 B,$30.9 B
161,AIA Group,$27.5 B,$3.8 B,$278.8 B,$93.7 B
162,Merck & Co.,$61.1 B,$2.3 B,$105.8 B,$332.3 B
163,Abbott Laboratories,$40.3 B,$5.6 B,$72.5 B,$181.1 B
164,China Telecom,$71.4 B,$4.3 B,$117.4 B,$52.3 B
165,Dell Technologies,$88.5 B,$3.2 B,$82.1 B,$106.7 B
166,Barclays,$31.5 B,$5.1 B,"$1,992.3 B",$41.2 B
167,Linde,$32.8 B,$6.3 B,$80.3 B,$207.9 B
168,FedEx,$87.5 B,$4.4 B,$86.1 B,$63.3 B
169,Hitachi,$67.3 B,$4.1 B,$80.8 B,$86.1 B
170,Accenture,$64.6 B,$7 B,$51.3 B,$190.9 B
171,Lockheed Martin,$69.6 B,$6.8 B,$55 B,$111.9 B
172,L'Oréal,$44.5 B,$6.7 B,$57.3 B,$260.3 B
172,Nordea Bank,$28.5 B,$5.6 B,$653.3 B,$43.5 B
174,Eli Lilly,$35.9 B,$6.1 B,$63.9 B,$731.8 B
175,KKR,$22.7 B,$4.1 B,$339.8 B,$92.9 B
176,Philip Morris International,$35.7 B,$7.9 B,$65.3 B,$155.2 B
177,NatWest Group,$33.7 B,$5.1 B,$881.1 B,$35.5 B
177,Valero Energy,$140.1 B,$7 B,$62.6 B,$54.3 B
179,Enbridge,$31.5 B,$4.4 B,$140.9 B,$78.2 B
180,JD.com,$153.7 B,$3.5 B,$83.3 B,$55.7 B
181,Bank of New York Mellon,$36.2 B,$3.4 B,$434.7 B,$44.5 B
181,Vale,$41.8 B,$7.8 B,$91.5 B,$55.4 B
183,GSK,$38.6 B,$5.6 B,$73.9 B,$91.9 B
184,Prudential Financial,$58.9 B,$2.1 B,$725.8 B,$43.5 B
185,Lowe's,$86.4 B,$7.7 B,$43.4 B,$132.2 B
186,Charter Communications,$54.6 B,$4.6 B,$148 B,$39.3 B
187,Honeywell International,$36.9 B,$5.7 B,$65.6 B,$134.1 B
188,McKesson,$309 B,$3 B,$67.4 B,$73.4 B
189,Duke Energy,$29.5 B,$3.3 B,$178.7 B,$80.2 B
190,Qualcomm,$36.4 B,$8.4 B,$53.2 B,$216.3 B
191,HCA Healthcare,$66.7 B,$5.5 B,$57 B,$84.6 B
191,Medtronic,$32.3 B,$4.2 B,$90.8 B,$114.1 B
193,Amgen,$29.4 B,$3.8 B,$93 B,$167.6 B
194,ENGIE,$89.3 B,$2.4 B,$215 B,$41.5 B
194,Southern Company,$25.4 B,$4.2 B,$140.1 B,$87 B
196,CaixaBank,$25.2 B,$5.2 B,$670.7 B,$39.2 B
197,Manulife,$26.4 B,$3.4 B,$630.4 B,$48.2 B
198,Danaher,$26.2 B,$4.4 B,$83.4 B,$196.9 B
199,Mondelez International,$36.1 B,$4.3 B,$77.6 B,$95.5 B
200,Schneider Electric,$38.8 B,$4.3 B,$65.1 B,$139.1 B
201,Target,$107.4 B,$4.1 B,$55.4 B,$74.1 B
202,Deutsche Post,$87.9 B,$3.8 B,$74.2 B,$51.3 B
202,KDDI,$39.8 B,$4.4 B,$93.5 B,$58 B
204,National Grid,$25.4 B,$9.4 B,$115 B,$53.7 B
205,Midea Group,$53.2 B,$4.8 B,$68.9 B,$65.7 B
205,Novo Nordisk,$35.5 B,$13 B,$43.3 B,$581.1 B
207,Oil & Natural Gas,$77.5 B,$5.1 B,$80.6 B,$41.9 B
208,América Móvil,$46.8 B,$3.4 B,$96.3 B,$61.4 B
209,BlackRock,$19.1 B,$5.9 B,$124 B,$120.7 B
210,PDD Holdings,$34.7 B,$8.4 B,$49.1 B,$194.2 B
211,PICC,$77.3 B,$3.2 B,$214 B,$30.3 B
212,Netflix,$34.9 B,$6.4 B,$48.8 B,$267.7 B
213,Brookfield Corporation,$101.9 B,$1.1 B,$491.9 B,$73 B
214,Qatar National Bank,$32 B,$4 B,$339.6 B,$35.5 B
215,International Holding Company,$17.3 B,$8.1 B,$92.2 B,$239.5 B
215,Travelers,$42.9 B,$3.1 B,$117.8 B,$50.3 B
217,Volvo Group,$52.1 B,$4.8 B,$67.3 B,$54 B
218,Union Pacific,$24.1 B,$6.4 B,$67.3 B,$149.5 B
219,Oversea-Chinese Banking,$18.6 B,$5.2 B,$440.8 B,$48.3 B
220,Swiss Re,$49.4 B,$3.2 B,$173.5 B,$35.3 B
221,China Pacific Insurance,$46.6 B,$3.8 B,$332.1 B,$27.2 B
222,McDonald's,$25.8 B,$8.6 B,$53.5 B,$196.4 B
223,Banco Bradesco,$61.2 B,$2.6 B,$390.8 B,$27.9 B
224,Centene,$155.5 B,$2.7 B,$82.6 B,$41.7 B
225,PayPal,$30.4 B,$4.3 B,$83.3 B,$67.4 B
226,Japan Post Holdings,$81.5 B,$1.9 B,"$1,973.6 B",$27.6 B
227,Standard Chartered,$40.1 B,$3.3 B,$812.5 B,$25.3 B
228,China Everbright Bank,$40.5 B,$5.7 B,$954.4 B,$19.7 B
228,Suncor Energy,$36.7 B,$5.8 B,$65.9 B,$51.6 B
230,SAP,$34.5 B,$2.1 B,$78.8 B,$224.7 B
231,Mastercard,$25.7 B,$11.8 B,$42.6 B,$427.9 B
231,The Saudi National Bank,$16.3 B,$5.3 B,$285.9 B,$56.4 B
233,China Resources Land,$35.2 B,$4.4 B,$168 B,$30 B
234,Delta Air Lines,$59 B,$5 B,$75 B,$34 B
234,KIA,$77.5 B,$7.2 B,$62.1 B,$32.6 B
236,ASML Holding,$28.3 B,$7.7 B,$42.2 B,$365 B
237,General Dynamics,$43.1 B,$3.4 B,$55.2 B,$82 B
238,Daimler Truck Holding,$60.7 B,$4.2 B,$79.5 B,$34.4 B
239,Nike,$51.6 B,$5.2 B,$37.4 B,$139.1 B
240,United Overseas Bank,$20.2 B,$4.3 B,$396.9 B,$37.6 B
241,KBC Group,$29.8 B,$3.2 B,$388.2 B,$30 B
242,First Abu Dhabi Bank,$20.8 B,$4.3 B,$336.3 B,$36.6 B
243,PTT,$90 B,$3.2 B,$99.8 B,$26.6 B
244,Canadian Natural Resources,$26.4 B,$5.5 B,$56.1 B,$82.6 B
245,Aflac,$19.3 B,$5.3 B,$124.6 B,$50.2 B
245,Dai-ichi Life Insurance,$66.1 B,$2.2 B,$446.3 B,$23.1 B
247,Occidental Petroleum,$27.4 B,$4.3 B,$74.3 B,$56.2 B
248,China Minsheng Bank,$43.9 B,$4.5 B,"$1,069.2 B",$17.2 B
